"","sample_1","sample_2","sample_3","sample_4","sample_5"
"ENSG00000197251",2,2,3,2,0
"ENSG00000197253",5,0,0,14,3
"ENSG00000197256",13,25,32,24,16
"ENSG00000197258",128,180,143,119,116
"ENSG00000197261",0,0,0,0,0
"ENSG00000197262",1,7,15,10,4
"ENSG00000197265",284,222,280,205,210
"ENSG00000197272",12,11,14,12,7
"ENSG00000197273",0,0,0,0,0
"ENSG00000197275",16,14,9,5,6
"ENSG00000197279",7,6,5,13,7
"ENSG00000197283",478,560,556,410,619
"ENSG00000197284",12,21,20,9,7
"ENSG00000197291",0,1,0,0,0
"ENSG00000197296",112,139,138,77,137
"ENSG00000197299",90,108,113,66,86
"ENSG00000197301",4,9,1,3,2
"ENSG00000197302",124,140,125,75,85
"ENSG00000197308",1,0,0,0,0
"ENSG00000197312",291,384,363,239,292
"ENSG00000197320",1,7,0,5,2
"ENSG00000197321",540,1611,1146,743,889
"ENSG00000197323",511,923,884,449,534
"ENSG00000197324",7806,13341,9472,6498,9422
"ENSG00000197329",1336,2375,2352,952,1281
"ENSG00000197332",0,0,0,0,0
"ENSG00000197334",0,1,0,0,0
"ENSG00000197343",995,1317,1283,843,965
"ENSG00000197345",264,179,217,155,169
"ENSG00000197353",65,29,32,32,22
"ENSG00000197355",261,479,383,376,401
"ENSG00000197358",0,1,1,0,0
"ENSG00000197360",0,0,0,0,0
"ENSG00000197361",3,6,1,5,7
"ENSG00000197362",152,166,166,87,119
"ENSG00000197363",181,178,176,152,200
"ENSG00000197372",77,45,78,39,56
"ENSG00000197375",117,197,151,83,113
"ENSG00000197376",1,0,0,0,2
"ENSG00000197380",3,2,0,0,2
"ENSG00000197381",481,458,375,328,485
"ENSG00000197385",15,8,17,15,12
"ENSG00000197386",1140,1555,1395,1226,1271
"ENSG00000197403",1,0,1,0,4
"ENSG00000197405",4682,11747,7997,4261,5514
"ENSG00000197408",0,0,0,0,0
"ENSG00000197409",26,34,21,11,38
"ENSG00000197410",1,1,0,0,3
"ENSG00000197414",0,0,1,0,0
"ENSG00000197415",5,10,28,9,2
"ENSG00000197417",30,11,20,13,17
"ENSG00000197421",3,3,2,1,1
"ENSG00000197429",72,100,99,62,62
"ENSG00000197430",0,0,0,0,0
"ENSG00000197437",0,0,0,0,0
"ENSG00000197442",669,1391,1037,615,935
"ENSG00000197444",0,1,0,0,0
"ENSG00000197445",1,0,2,1,1
"ENSG00000197446",1,0,1,0,0
"ENSG00000197448",3759,4605,3777,3490,4104
"ENSG00000197451",671,739,685,570,621
"ENSG00000197454",0,0,0,0,0
"ENSG00000197457",1977,1460,1283,1043,1760
"ENSG00000197459",8,34,23,17,23
"ENSG00000197461",3,4,24,12,12
"ENSG00000197465",3,4,41,16,13
"ENSG00000197467",20,2,23,7,18
"ENSG00000197468",0,0,0,0,0
"ENSG00000197471",1886,2316,2223,1836,1893
"ENSG00000197472",1,0,0,0,0
"ENSG00000197476",8,5,4,2,1
"ENSG00000197479",0,0,0,0,0
"ENSG00000197483",84,65,52,43,80
"ENSG00000197496",1,1,1,0,4
"ENSG00000197497",43,33,21,19,32
"ENSG00000197498",126,103,133,97,101
"ENSG00000197502",2,0,0,0,0
"ENSG00000197503",0,0,0,0,0
"ENSG00000197506",6,8,11,4,3
"ENSG00000197520",26,39,24,11,22
"ENSG00000197530",1340,929,1447,1044,1474
"ENSG00000197535",576,1124,1008,524,623
"ENSG00000197536",310,321,302,265,303
"ENSG00000197540",1841,868,1250,879,1107
"ENSG00000197548",386,906,639,464,509
"ENSG00000197549",6,13,2,5,17
"ENSG00000197550",0,0,0,0,1
"ENSG00000197555",830,1900,1282,948,1076
"ENSG00000197557",12,23,14,8,6
"ENSG00000197558",36,91,92,57,141
"ENSG00000197561",13,36,36,12,9
"ENSG00000197562",495,668,530,388,637
"ENSG00000197563",163,202,197,140,163
"ENSG00000197565",0,0,1,2,1
"ENSG00000197566",23,58,30,18,24
"ENSG00000197568",37,34,36,18,31
"ENSG00000197575",0,2,1,0,0
"ENSG00000197576",0,0,0,1,2
"ENSG00000197579",311,530,638,286,340
"ENSG00000197580",9,19,7,5,12
"ENSG00000197582",114,90,116,60,206
"ENSG00000197584",0,0,0,0,0
"ENSG00000197585",0,0,0,0,0
"ENSG00000197586",988,1070,957,754,967
"ENSG00000197587",1,0,0,0,1
"ENSG00000197588",0,0,0,0,0
"ENSG00000197591",0,0,0,0,0
"ENSG00000197594",7,6,1,2,2
"ENSG00000197595",0,0,0,0,0
"ENSG00000197599",72,85,84,57,98
"ENSG00000197601",767,1282,1285,478,639
"ENSG00000197603",36,63,71,37,55
"ENSG00000197604",3,9,4,4,5
"ENSG00000197608",121,150,159,116,135
"ENSG00000197614",0,2,0,0,0
"ENSG00000197616",0,0,0,0,0
"ENSG00000197617",0,0,0,0,0
"ENSG00000197619",72,128,109,63,68
"ENSG00000197620",187,165,224,152,145
"ENSG00000197622",8367,13410,11938,8150,11246
"ENSG00000197627",0,0,0,0,0
"ENSG00000197629",3479,10321,8752,6261,5600
"ENSG00000197632",13,32,25,16,7
"ENSG00000197635",427,371,310,282,345
"ENSG00000197641",0,0,0,0,0
"ENSG00000197644",0,0,0,0,0
"ENSG00000197646",7,5,6,2,5
"ENSG00000197647",7,11,13,2,9
"ENSG00000197653",2,8,5,5,0
"ENSG00000197665",0,0,0,0,0
"ENSG00000197670",14,25,18,18,18
"ENSG00000197681",4,7,5,12,10
"ENSG00000197694",2228,3177,2448,2472,3619
"ENSG00000197696",39,16,19,23,25
"ENSG00000197697",0,6,1,1,4
"ENSG00000197701",23,6,18,13,65
"ENSG00000197702",7,6,4,4,9
"ENSG00000197704",0,0,0,0,0
"ENSG00000197705",45,48,34,48,34
"ENSG00000197712",25,54,34,22,27
"ENSG00000197713",149,151,198,80,112
"ENSG00000197714",14,23,26,10,11
"ENSG00000197721",5,7,7,10,1
"ENSG00000197723",2,8,1,1,8
"ENSG00000197724",658,1106,967,613,693
"ENSG00000197727",1,2,0,0,2
"ENSG00000197728",356,87,225,88,237
"ENSG00000197734",0,0,1,0,0
"ENSG00000197744",98,105,103,64,80
"ENSG00000197746",34715,67643,48490,40406,37562
"ENSG00000197747",2471,2847,2206,2101,2049
"ENSG00000197748",2,1,0,2,1
"ENSG00000197753",0,0,1,0,0
"ENSG00000197756",10257,6845,6832,5627,5554
"ENSG00000197757",0,0,0,0,0
"ENSG00000197763",9,12,8,4,13
"ENSG00000197766",1511,920,760,924,3434
"ENSG00000197768",8,4,8,9,7
"ENSG00000197769",0,0,1,0,0
"ENSG00000197771",868,1387,1288,479,842
"ENSG00000197774",300,372,383,298,483
"ENSG00000197776",44,52,46,25,23
"ENSG00000197779",49,104,85,51,58
"ENSG00000197780",54,58,81,38,44
"ENSG00000197782",182,310,302,139,212
"ENSG00000197785",179,178,159,132,199
"ENSG00000197790",0,0,0,0,0
"ENSG00000197794",0,0,0,2,2
"ENSG00000197798",150,169,220,136,132
"ENSG00000197805",0,0,0,0,0
"ENSG00000197808",42,66,76,39,41
"ENSG00000197813",14,17,12,14,30
"ENSG00000197815",3,4,12,7,3
"ENSG00000197816",24,29,29,27,33
"ENSG00000197818",1025,2056,1419,981,1354
"ENSG00000197822",0,15,5,1,1
"ENSG00000197825",0,0,0,0,0
"ENSG00000197826",0,0,0,0,0
"ENSG00000197830",1,2,4,1,1
"ENSG00000197837",10,16,18,1,8
"ENSG00000197838",0,0,0,0,0
"ENSG00000197841",62,61,82,36,60
"ENSG00000197844",0,0,0,0,0
"ENSG00000197846",2,13,16,7,9
"ENSG00000197847",9,21,5,3,7
"ENSG00000197852",1921,4357,3121,1839,2981
"ENSG00000197857",268,328,322,222,302
"ENSG00000197858",1240,1219,1061,869,1099
"ENSG00000197859",0,1,4,2,5
"ENSG00000197860",239,419,324,177,279
"ENSG00000197863",32,33,34,13,32
"ENSG00000197870",4,2,1,1,0
"ENSG00000197872",907,2212,2079,1246,1288
"ENSG00000197879",230,286,238,186,302
"ENSG00000197880",99,100,109,39,113
"ENSG00000197882",0,0,0,0,0
"ENSG00000197885",24,34,37,21,30
"ENSG00000197888",0,2,5,0,1
"ENSG00000197889",0,0,0,0,2
"ENSG00000197891",0,0,0,0,0
"ENSG00000197892",269,364,289,331,261
"ENSG00000197893",0,0,0,0,0
"ENSG00000197894",683,635,760,472,544
"ENSG00000197901",0,0,0,0,0
"ENSG00000197903",455,1179,780,377,762
"ENSG00000197905",0,0,0,0,0
"ENSG00000197912",1551,1909,1717,1482,1785
"ENSG00000197914",3,8,1,3,1
"ENSG00000197915",1,1,1,0,0
"ENSG00000197919",0,0,0,0,0
"ENSG00000197921",0,0,0,0,0
"ENSG00000197927",6,11,8,7,16
"ENSG00000197928",65,72,51,19,28
"ENSG00000197930",633,1238,1068,704,645
"ENSG00000197932",52,90,61,52,79
"ENSG00000197933",27,38,49,32,28
"ENSG00000197934",0,0,0,0,0
"ENSG00000197935",5,4,5,4,1
"ENSG00000197937",49,49,54,22,35
"ENSG00000197943",1278,2865,2379,1847,2361
"ENSG00000197948",984,1317,1339,1040,1460
"ENSG00000197951",126,143,156,88,137
"ENSG00000197953",0,1,0,0,0
"ENSG00000197956",10476,13375,11180,8668,10434
"ENSG00000197958",6201,4237,3782,3457,3972
"ENSG00000197959",18,40,66,25,31
"ENSG00000197961",290,228,240,165,169
"ENSG00000197965",1559,1820,1980,859,1111
"ENSG00000197969",283,373,385,241,296
"ENSG00000197971",2817,5896,5083,2991,3437
"ENSG00000197976",2108,2671,2558,1655,2803
"ENSG00000197977",1,1,0,0,0
"ENSG00000197978",0,0,0,0,4
"ENSG00000197980",7,5,4,1,2
"ENSG00000197982",211,175,148,110,199
"ENSG00000197989",415,272,300,237,390
"ENSG00000197990",0,0,0,0,0
"ENSG00000197991",0,0,0,0,0
"ENSG00000197992",19,37,28,56,18
"ENSG00000197993",34,45,42,68,24
"ENSG00000198000",399,513,569,406,460
"ENSG00000198001",854,1260,986,667,705
"ENSG00000198003",6,9,3,2,3
"ENSG00000198010",0,12,1,1,1
"ENSG00000198015",188,226,182,122,123
"ENSG00000198018",30,46,35,30,30
"ENSG00000198019",50,133,63,38,65
"ENSG00000198026",947,1311,1227,1083,1435
"ENSG00000198028",0,0,0,0,0
"ENSG00000198033",0,0,0,0,0
"ENSG00000198034",30884,16327,15777,13227,20906
"ENSG00000198035",81,102,86,41,71
"ENSG00000198039",34,27,36,16,26
"ENSG00000198040",9,3,3,1,4
"ENSG00000198042",118,151,154,85,107
"ENSG00000198046",36,7,22,11,15
"ENSG00000198049",0,0,0,0,0
"ENSG00000198053",3739,8080,5190,2586,3649
"ENSG00000198054",0,0,0,0,0
"ENSG00000198055",4942,5550,4787,3589,4785
"ENSG00000198056",76,64,57,59,51
"ENSG00000198060",327,481,422,232,319
"ENSG00000198062",0,0,0,0,0
"ENSG00000198064",1,1,0,0,1
"ENSG00000198074",0,0,0,0,0
"ENSG00000198075",0,1,1,4,3
"ENSG00000198077",0,0,0,2,1
"ENSG00000198081",304,352,357,232,242
"ENSG00000198082",0,4,0,0,0
"ENSG00000198087",197,201,288,130,134
"ENSG00000198088",11,3,0,0,2
"ENSG00000198089",1172,1501,1567,1141,1903
"ENSG00000198090",2,0,1,0,1
"ENSG00000198092",0,0,0,0,0
"ENSG00000198093",38,63,47,42,38
"ENSG00000198099",0,0,2,0,0
"ENSG00000198100",0,0,0,0,0
"ENSG00000198105",171,132,180,84,155
"ENSG00000198106",27,31,21,25,14
"ENSG00000198108",0,0,0,0,0
"ENSG00000198113",674,953,777,469,642
"ENSG00000198121",24,82,62,59,25
"ENSG00000198125",0,0,0,0,0
"ENSG00000198128",0,0,0,0,0
"ENSG00000198130",137,92,129,72,74
"ENSG00000198131",156,186,196,160,187
"ENSG00000198133",544,677,727,507,511
"ENSG00000198134",18,21,21,18,10
"ENSG00000198142",28,19,37,7,15
"ENSG00000198146",105,209,191,68,114
"ENSG00000198150",31,36,23,20,36
"ENSG00000198153",1,0,0,0,0
"ENSG00000198155",6,3,3,0,4
"ENSG00000198156",2,2,4,1,1
"ENSG00000198157",6,8,4,1,5
"ENSG00000198160",556,989,986,492,604
"ENSG00000198161",5,5,0,3,1
"ENSG00000198162",353,397,473,338,296
"ENSG00000198168",265,210,211,118,176
"ENSG00000198169",159,158,175,144,171
"ENSG00000198171",573,409,428,329,400
"ENSG00000198176",460,636,671,432,452
"ENSG00000198178",42,30,82,52,63
"ENSG00000198182",79,56,91,54,56
"ENSG00000198183",0,0,0,0,0
"ENSG00000198185",2,4,3,1,3
"ENSG00000198189",1652,2730,2603,1358,1958
"ENSG00000198198",734,1359,1195,1030,1266
"ENSG00000198203",0,1,0,0,0
"ENSG00000198205",57,40,49,35,44
"ENSG00000198208",32,42,49,12,30
"ENSG00000198216",38,113,71,36,95
"ENSG00000198218",1137,1466,1392,1129,1235
"ENSG00000198221",0,0,0,0,1
"ENSG00000198223",1004,2574,1853,1199,1312
"ENSG00000198225",72,194,156,68,123
"ENSG00000198231",1074,1616,1381,1064,1128
"ENSG00000198237",4,6,15,8,6
"ENSG00000198242",433,298,273,238,289
"ENSG00000198246",136,277,183,147,124
"ENSG00000198250",1,4,2,1,0
"ENSG00000198251",0,0,0,0,0
"ENSG00000198252",305,401,363,250,271
"ENSG00000198258",1070,912,1141,623,702
"ENSG00000198265",621,1013,932,544,629
"ENSG00000198270",97,102,102,100,131
"ENSG00000198276",596,495,482,409,534
"ENSG00000198283",0,0,0,0,0
"ENSG00000198286",1868,1606,1788,1403,1758
"ENSG00000198298",26,30,37,35,31
"ENSG00000198300",3,1,2,1,2
"ENSG00000198301",326,492,404,345,377
"ENSG00000198305",0,0,0,0,0
"ENSG00000198307",0,0,0,0,0
"ENSG00000198312",1,2,0,0,4
"ENSG00000198315",393,549,404,340,409
"ENSG00000198324",209,206,273,184,195
"ENSG00000198326",0,0,0,0,0
"ENSG00000198327",0,0,0,0,0
"ENSG00000198331",70,84,95,77,76
"ENSG00000198336",354,400,327,585,269
"ENSG00000198339",7,9,15,2,9
"ENSG00000198342",5,12,6,3,5
"ENSG00000198346",58,81,84,56,57
"ENSG00000198353",4,0,2,1,2
"ENSG00000198354",0,0,0,0,0
"ENSG00000198355",1265,1606,965,635,1350
"ENSG00000198356",749,860,935,749,736
"ENSG00000198358",0,1,1,0,0
"ENSG00000198363",161,367,195,116,135
"ENSG00000198366",0,1,1,0,3
"ENSG00000198369",17,48,34,12,24
"ENSG00000198373",1615,2991,2569,1816,1995
"ENSG00000198374",0,0,1,0,0
"ENSG00000198380",198,292,237,159,183
"ENSG00000198382",369,505,520,363,393
"ENSG00000198384",0,0,0,0,0
"ENSG00000198388",0,0,0,1,1
"ENSG00000198390",0,0,0,0,0
"ENSG00000198393",0,1,0,3,3
"ENSG00000198398",0,0,0,0,0
"ENSG00000198399",997,1611,1517,876,1170
"ENSG00000198400",24,28,21,6,24
"ENSG00000198406",16,32,18,11,17
"ENSG00000198408",4031,5457,5011,3151,4084
"ENSG00000198414",0,0,0,0,1
"ENSG00000198416",0,1,2,1,0
"ENSG00000198417",110,85,75,60,81
"ENSG00000198420",23,22,34,24,31
"ENSG00000198429",24,38,35,28,28
"ENSG00000198431",679,1571,1308,718,649
"ENSG00000198435",3,6,6,1,6
"ENSG00000198440",24,41,34,16,19
"ENSG00000198444",0,2,1,0,0
"ENSG00000198445",0,0,0,0,0
"ENSG00000198452",1,1,0,0,0
"ENSG00000198453",55,69,56,48,41
"ENSG00000198454",2,1,6,1,0
"ENSG00000198455",163,167,156,98,130
"ENSG00000198464",123,106,121,78,105
"ENSG00000198466",203,399,307,186,238
"ENSG00000198467",494,213,356,258,442
"ENSG00000198468",43,69,48,33,59
"ENSG00000198471",0,0,0,0,0
"ENSG00000198477",15,31,13,11,33
"ENSG00000198478",109,273,460,101,165
"ENSG00000198482",46,93,74,55,53
"ENSG00000198483",9,11,1,5,11
"ENSG00000198488",1,0,0,0,0
"ENSG00000198491",0,0,0,0,0
"ENSG00000198492",715,992,983,707,737
"ENSG00000198496",70,130,88,85,103
"ENSG00000198498",87,102,121,62,66
"ENSG00000198502",465,5412,591,239,3105
"ENSG00000198513",15,14,20,13,14
"ENSG00000198515",6,0,0,0,1
"ENSG00000198517",149,157,133,95,186
"ENSG00000198518",14,20,12,5,10
"ENSG00000198520",726,680,553,332,739
"ENSG00000198521",115,139,126,96,109
"ENSG00000198522",335,359,365,313,237
"ENSG00000198523",0,0,0,0,0
"ENSG00000198526",0,0,0,0,0
"ENSG00000198535",0,0,0,0,0
"ENSG00000198538",73,74,90,54,56
"ENSG00000198542",0,0,0,0,0
"ENSG00000198546",136,156,136,98,113
"ENSG00000198547",6,10,5,2,3
"ENSG00000198551",61,149,92,85,67
"ENSG00000198553",1,5,0,1,2
"ENSG00000198554",33,26,33,32,28
"ENSG00000198555",0,0,0,0,0
"ENSG00000198556",187,189,189,155,187
"ENSG00000198558",0,0,0,0,0
"ENSG00000198561",292,674,568,396,366
"ENSG00000198563",3280,4442,4153,2760,4637
"ENSG00000198566",0,1,0,1,0
"ENSG00000198569",2,3,8,5,3
"ENSG00000198570",0,0,0,0,1
"ENSG00000198574",337,137,569,211,177
"ENSG00000198576",2,4,4,0,1
"ENSG00000198580",4,9,7,4,4
"ENSG00000198585",621,1187,1092,614,661
"ENSG00000198586",467,656,656,375,492
"ENSG00000198589",306,476,485,340,414
"ENSG00000198590",6,14,13,5,8
"ENSG00000198597",0,0,0,0,0
"ENSG00000198598",211,142,241,117,173
"ENSG00000198604",855,1654,1314,660,780
"ENSG00000198610",0,2,3,6,2
"ENSG00000198612",233,226,286,173,172
"ENSG00000198618",462,332,357,316,319
"ENSG00000198624",2539,3847,3685,2813,2805
"ENSG00000198625",1664,1819,1789,1074,1545
"ENSG00000198626",1,2,7,1,2
"ENSG00000198632",2,0,1,1,1
"ENSG00000198633",0,0,0,0,0
"ENSG00000198642",364,457,435,222,286
"ENSG00000198643",2,6,14,6,8
"ENSG00000198646",395,930,798,482,526
"ENSG00000198648",317,289,370,205,255
"ENSG00000198650",3,1,0,0,0
"ENSG00000198658",11,3,4,3,4
"ENSG00000198663",1063,2011,1508,1107,1469
"ENSG00000198668",5268,5418,5891,4253,4841
"ENSG00000198670",0,0,1,0,1
"ENSG00000198671",0,0,0,0,0
"ENSG00000198673",48,87,64,79,68
"ENSG00000198677",437,677,676,419,513
"ENSG00000198680",2,7,9,2,3
"ENSG00000198682",44,92,80,39,56
"ENSG00000198685",0,1,0,0,1
"ENSG00000198689",227,254,248,185,179
"ENSG00000198690",115,177,173,127,168
"ENSG00000198691",0,0,2,0,1
"ENSG00000198692",0,297,301,180,1
"ENSG00000198695",4584,7259,7248,6106,5412
"ENSG00000198700",522,773,614,538,573
"ENSG00000198704",0,0,0,0,0
"ENSG00000198707",75,73,57,48,58
"ENSG00000198711",6,9,12,6,8
"ENSG00000198712",23969,39923,28615,28790,23994
"ENSG00000198715",164,371,355,181,268
"ENSG00000198718",62,104,98,66,59
"ENSG00000198719",30,39,27,12,14
"ENSG00000198720",15,14,15,20,15
"ENSG00000198721",218,156,166,117,156
"ENSG00000198722",20,18,15,7,6
"ENSG00000198723",3,1,0,1,1
"ENSG00000198727",18462,33327,25559,23136,23793
"ENSG00000198728",1660,2376,2254,1583,2048
"ENSG00000198729",2,0,3,4,1
"ENSG00000198730",642,1165,1041,833,744
"ENSG00000198732",7,6,11,6,8
"ENSG00000198734",210,879,305,278,458
"ENSG00000198736",4877,9302,7295,4741,6545
"ENSG00000198738",0,0,0,0,0
"ENSG00000198739",0,0,0,0,0
"ENSG00000198740",925,1584,1293,891,1043
"ENSG00000198742",259,434,385,238,262
"ENSG00000198744",1359,45,33,23,24
"ENSG00000198746",324,359,345,224,239
"ENSG00000198750",0,3,2,1,1
"ENSG00000198752",81,185,160,64,87
"ENSG00000198753",2,3,10,5,10
"ENSG00000198754",4,1,3,1,0
"ENSG00000198755",10730,7465,7041,5271,6085
"ENSG00000198756",26,16,8,48,10
"ENSG00000198758",1,0,0,0,1
"ENSG00000198759",0,0,2,0,0
"ENSG00000198763",11687,23662,18410,16345,14623
"ENSG00000198765",0,0,0,0,0
"ENSG00000198768",1,1,0,0,1
"ENSG00000198771",2588,3658,3511,2777,2696
"ENSG00000198780",76,70,89,37,61
"ENSG00000198783",323,292,305,199,256
"ENSG00000198785",12,31,26,15,27
"ENSG00000198786",7084,18845,14774,14955,12832
"ENSG00000198788",0,0,0,0,0
"ENSG00000198791",746,848,894,599,674
"ENSG00000198792",713,870,822,542,820
"ENSG00000198793",470,839,784,625,680
"ENSG00000198794",126,74,268,104,145
"ENSG00000198795",6,1,2,6,2
"ENSG00000198796",1,3,5,0,2
"ENSG00000198797",0,0,0,0,0
"ENSG00000198799",261,329,271,168,240
"ENSG00000198804",38671,90261,60058,59846,49098
"ENSG00000198805",681,703,784,540,563
"ENSG00000198807",0,0,1,1,1
"ENSG00000198812",0,0,0,0,0
"ENSG00000198814",276,624,524,205,297
"ENSG00000198815",651,878,960,511,643
"ENSG00000198816",80,51,66,63,49
"ENSG00000198818",507,737,669,361,481
"ENSG00000198821",3757,2655,3865,2629,3429
"ENSG00000198822",0,0,0,0,0
"ENSG00000198824",191,337,311,216,202
"ENSG00000198825",123,138,138,111,94
"ENSG00000198826",37,46,26,10,25
"ENSG00000198829",0,10,16,4,5
"ENSG00000198830",2584,2773,2546,1913,2434
"ENSG00000198832",178,132,94,76,181
"ENSG00000198833",910,1755,1102,663,877
"ENSG00000198835",11,11,12,5,12
"ENSG00000198836",301,493,533,338,273
"ENSG00000198837",3146,4512,3831,2960,3486
"ENSG00000198838",15,17,24,20,9
"ENSG00000198839",165,165,159,91,102
"ENSG00000198840",6836,6186,5781,5063,5888
"ENSG00000198841",146,148,131,115,106
"ENSG00000198842",0,0,0,0,0
"ENSG00000198843",969,1196,1127,585,630
"ENSG00000198844",0,0,0,0,0
"ENSG00000198846",97,119,87,139,139
"ENSG00000198848",214,322,223,633,144
"ENSG00000198851",8552,6315,5620,5232,7292
"ENSG00000198853",93,218,122,125,98
"ENSG00000198855",51,72,66,63,60
"ENSG00000198856",428,381,430,270,283
"ENSG00000198857",2,2,1,0,0
"ENSG00000198858",10333,14804,12895,10046,10947
"ENSG00000198860",251,288,251,190,193
"ENSG00000198862",237,377,383,217,214
"ENSG00000198863",325,501,447,292,339
"ENSG00000198865",11,5,16,5,4
"ENSG00000198868",0,0,0,0,0
"ENSG00000198870",11,16,10,16,21
"ENSG00000198873",389,527,605,347,432
"ENSG00000198874",166,209,173,168,141
"ENSG00000198876",1124,1906,2181,2130,1506
"ENSG00000198879",226,309,335,201,207
"ENSG00000198881",0,0,0,0,0
"ENSG00000198883",9,11,7,7,8
"ENSG00000198885",81,55,72,72,64
"ENSG00000198886",29764,54918,42056,37567,37431
"ENSG00000198887",328,455,385,273,289
"ENSG00000198888",15320,28772,21822,21659,18566
"ENSG00000198890",181,181,197,110,110
"ENSG00000198892",64,190,60,63,45
"ENSG00000198894",115,223,196,103,115
"ENSG00000198898",931,1660,1614,673,752
"ENSG00000198899",11786,18861,15468,13612,12548
"ENSG00000198900",727,1317,1203,716,943
"ENSG00000198901",22,44,46,40,26
"ENSG00000198908",23,16,20,16,14
"ENSG00000198909",2418,4456,4318,2866,3106
"ENSG00000198910",14,12,8,18,13
"ENSG00000198911",1339,1609,1552,1207,1283
"ENSG00000198912",404,456,528,323,349
"ENSG00000198914",0,0,0,0,0
"ENSG00000198915",105,160,118,95,116
"ENSG00000198917",635,592,578,427,577
"ENSG00000198918",307,153,180,87,107
"ENSG00000198919",118,188,156,121,165
"ENSG00000198920",205,280,225,174,175
"ENSG00000198923",0,2,0,0,0
"ENSG00000198924",32,82,62,39,59
"ENSG00000198925",1207,1652,1578,1038,1437
"ENSG00000198929",0,0,4,1,3
"ENSG00000198931",2536,1836,1425,1325,1885
"ENSG00000198932",407,414,380,212,354
"ENSG00000198933",532,1105,417,386,560
"ENSG00000198934",75,75,62,43,60
"ENSG00000198937",125,90,96,86,126
"ENSG00000198938",18871,34766,27704,25754,25383
"ENSG00000198939",6,6,8,6,5
"ENSG00000198944",0,0,0,0,0
"ENSG00000198945",178,229,184,194,194
"ENSG00000198947",4,5,0,4,0
"ENSG00000198948",14,56,141,63,73
"ENSG00000198951",939,1847,1523,1256,979
"ENSG00000198952",1599,2892,2768,1793,2658
"ENSG00000198954",148,149,145,115,102
"ENSG00000198959",31,46,54,77,38
"ENSG00000198960",136,139,191,126,115
"ENSG00000198961",1149,2070,2080,912,1044
"ENSG00000198963",0,1,0,0,1
"ENSG00000198964",196,258,268,148,158
"ENSG00000198974",0,0,0,0,0
"ENSG00000198976",0,0,0,0,0
"ENSG00000198984",0,0,0,0,0
"ENSG00000198995",0,0,0,0,0
"ENSG00000199023",2,1,2,1,3
"ENSG00000199024",2,1,9,2,0
"ENSG00000199032",3,1,0,0,2
"ENSG00000199035",0,0,0,0,0
"ENSG00000199036",0,0,0,0,0
"ENSG00000199038",0,0,1,0,0
"ENSG00000199047",0,0,0,0,0
"ENSG00000199051",0,0,0,0,0
"ENSG00000199053",0,0,1,0,0
"ENSG00000199059",0,0,0,0,0
"ENSG00000199065",0,0,0,0,0
"ENSG00000199072",0,0,0,0,0
"ENSG00000199082",6,4,3,11,7
"ENSG00000199090",0,1,0,0,0
"ENSG00000199102",0,0,0,0,0
"ENSG00000199121",0,1,1,6,0
"ENSG00000199122",2,0,0,0,1
"ENSG00000199132",0,0,0,0,0
"ENSG00000199133",18,18,15,14,15
"ENSG00000199135",0,1,1,0,0
"ENSG00000199143",2,0,0,1,3
"ENSG00000199145",0,0,0,0,1
"ENSG00000199150",0,2,1,0,2
"ENSG00000199156",0,0,0,0,0
"ENSG00000199161",0,0,0,0,0
"ENSG00000199165",0,0,0,0,0
"ENSG00000199168",0,0,0,0,0
"ENSG00000199169",1,0,0,0,0
"ENSG00000199172",1,2,1,0,1
"ENSG00000199177",0,0,0,0,0
"ENSG00000199179",1,0,3,0,2
"ENSG00000199197",0,0,0,0,0
"ENSG00000199201",0,0,0,0,0
"ENSG00000199214",0,0,0,0,0
"ENSG00000199218",0,0,0,0,0
"ENSG00000199226",0,0,0,0,0
"ENSG00000199235",0,0,0,0,0
"ENSG00000199237",0,0,3,0,0
"ENSG00000199248",0,0,0,0,0
"ENSG00000199266",7,4,4,7,13
"ENSG00000199283",0,0,0,0,0
"ENSG00000199285",0,0,0,0,0
"ENSG00000199289",0,1,0,0,0
"ENSG00000199290",0,0,0,1,0
"ENSG00000199301",0,0,0,0,0
"ENSG00000199306",0,0,0,0,0
"ENSG00000199308",0,0,0,0,0
"ENSG00000199313",0,1,1,0,0
"ENSG00000199318",0,0,0,0,0
"ENSG00000199319",0,0,0,0,0
"ENSG00000199325",0,2,0,1,3
"ENSG00000199331",1,0,0,0,2
"ENSG00000199332",1,0,0,0,0
"ENSG00000199335",1,1,1,1,2
"ENSG00000199347",0,0,0,0,0
"ENSG00000199348",0,0,0,0,0
"ENSG00000199349",0,0,0,0,0
"ENSG00000199354",0,0,0,0,0
"ENSG00000199357",0,0,0,0,1
"ENSG00000199360",1,0,0,0,0
"ENSG00000199361",0,0,0,0,0
"ENSG00000199362",0,0,0,0,0
"ENSG00000199366",0,0,0,0,0
"ENSG00000199370",2,0,0,1,5
"ENSG00000199377",0,0,0,0,0
"ENSG00000199381",0,0,0,0,0
"ENSG00000199398",0,0,0,0,0
"ENSG00000199400",0,0,0,0,0
"ENSG00000199405",0,0,2,0,0
"ENSG00000199411",0,0,0,0,0
"ENSG00000199415",0,0,0,0,0
"ENSG00000199424",0,0,0,0,0
"ENSG00000199426",0,0,0,0,0
"ENSG00000199436",0,0,1,0,1
"ENSG00000199442",0,0,0,0,0
